Dataset,KNN_Accuracy,KNN_Recall,SVM_Accuracy,SVM_Recall
test_A,0.7910447761194029,0.6056338028169014,0.7661691542288557,0.5352112676056338
test_B,0.81,0.6216216216216216,0.81,0.5945945945945946
