Dataset,With Missing Handle Accuracy,Without Missing Handle Accuracy,With Missing Handle Recall,Without Missing Handle Recall
test_A,0.7910447761194029,0.7761194029850746,0.6056338028169014,0.5633802816901409
test_B,0.81,0.75,0.6216216216216216,0.43243243243243246
